race_id,pos,driver,team,time,pts,driver_total_gps
2025_austrian_gp,2,O. Piastri,McLaren,+2.695s,18,62
2025_austrian_gp,3,C. Leclerc,Ferrari,+19.820s,15,162
2025_austrian_gp,4,L. Hamilton,Ferrari,+29.020s,12,371
2025_austrian_gp,5,G. Russell,Mercedes,+62.396s,10,144
2025_austrian_gp,6,L. Lawson,Red Bull,+67.754s,8,26
2025_austrian_gp,7,F. Alonso,Aston Martin,+1 Lap,6,409
2025_austrian_gp,8,G. Bortoleto,Kick Sauber,+1 Lap,4,16
2025_austrian_gp,9,N. Hülkenberg,Kick Sauber,+1 Lap,2,243
2025_austrian_gp,10,E. Ocon,Haas,+1 Lap,1,158
2025_austrian_gp,11,O. Bearman,Haas,+1 Lap,0,18
2025_austrian_gp,12,I. Hadjar,Red Bull,+1 Lap,0,15
2025_austrian_gp,13,P. Gasly,Alpine,+1 Lap,0,169
2025_austrian_gp,14,L. Stroll,Aston Martin,+1 Lap,0,181
2025_austrian_gp,15,F. Colapinto,Alpine,+1 Lap,0,0
2025_austrian_gp,16,Y. Tsunoda,Red Bull,+2 Laps,0,103
2025_austrian_gp,17,A. Albon,Williams,DNF,0,120
2025_austrian_gp,18,M. Verstappen,Red Bull,DNF,0,224
2025_austrian_gp,19,A.K. Antonelli,Mercedes,DNF,0,13
2025_austrian_gp,20,C. Sainz Jr.,Williams,DNF,0,221
2025_british_gp,1,L. Norris,McLaren,1:37:15.735,25,144
2025_british_gp,2,O. Piastri,McLaren,+6.812s,18,62
2025_british_gp,3,N. Hülkenberg,Kick Sauber,+34.742s,15,243
2025_british_gp,4,L. Hamilton,Ferrari,+39.812s,12,371
2025_british_gp,5,M. Verstappen,Red Bull,+56.781s,10,224
2025_british_gp,6,P. Gasly,Alpine,+59.857s,8,169
2025_british_gp,7,L. Stroll,Aston Martin,+60.603s,6,181
2025_british_gp,8,A. Albon,Williams,+64.135s,4,120
2025_british_gp,9,F. Alonso,Aston Martin,+65.858s,2,409
2025_british_gp,10,G. Russell,Mercedes,+70.674s,1,144
2025_british_gp,11,O. Bearman,Haas,+72.095s,0,18
2025_british_gp,12,C. Sainz Jr.,Williams,+76.592s,0,221
